"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Predicting Indian GDP with Machine Learning: A Comparison of Regression Models","N. Srinivasan; K. M; N. V; K. S M; S. Kumar; S. R","Computer Science and Engineering, Sri Eshwar College of Engineering, Coimbatore, India; Computer Science and Engineering, Sri Eshwar College of Engineering, Coimbatore, India; Computer Science and Engineering, Sri Eshwar College of Engineering, Coimbatore, India; Computer Science and Engineering, Sri Eshwar College of Engineering, Coimbatore, India; Computer Science and Engineering, Sri Eshwar College of Engineering, Coimbatore, India; Computer Science and Engineering, Sri Eshwar College of Engineering, Coimbatore, India","2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS)","5 May 2023","2023","1","","1855","1858","In recent years, machine learning algorithms have gained popularity in the field of economic forecasting. This study aims to predict the Indian Gross Domestic Product (GDP) using advanced machine learning algorithms. To achieve this, we collected data from various sources, including time series analysis and inflation rate. We analyzed the data using linear regression and polynomial regression techniques to determine which method produced the most accurate results. Our results showed that the polynomial regression model outperformed the linear regression model in terms of accuracy. The polynomial regression model was better able to capture the non-linear relationships between the independent variables and the dependent variable (GDP). Specifically, our findings showed that the polynomial regression model was able to predict the Indian GDP with an accuracy of 91%, compared to 87% for the linear regression model. This study highlights the importance of using advanced machine learning algorithms in economic forecasting. We found that the use of high-quality data sets and advanced techniques such as polynomial regression can significantly improve the accuracy of economic forecasts. Our findings have several implications for policymakers and businesses. Accurate predictions of economic indicators such as GDP can help businesses make informed decisions about investment and growth strategies, while policymakers can use these predictions to develop effective economic policies. Overall, our study provides valuable insights into the use of machine learning algorithms in predicting Indian GDP. Our findings demonstrate the effectiveness of polynomial regression in capturing non-linear relationships and improving the accuracy of economic forecasts. This study can be used as a reference for future research in this area and emphasizes the need for high-quality data sets and advanced machine-learning techniques in economic forecasting.","2575-7288","979-8-3503-9737-6","10.1109/ICACCS57279.2023.10113035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10113035","Indian GDP;Machine learning;Linear regression;Polynomial regression;Economic forecasting;Time Series analysis;Inflation rate","Training;Machine learning algorithms;Economic indicators;Linear regression;Decision making;Machine learning;Predictive models","economic forecasting;economic indicators;industrial economics;investment;learning (artificial intelligence);polynomials;production engineering computing;quality control;regression analysis;time series","business;economic forecasting;economic indicators;economic policies;Indian GDP;Indian Gross Domestic Product;investment;machine learning;policymakers;polynomial regression techniques","","","","6","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"A Framework for Rainfall Forecasting based Crop Analysis using Deep Learning","S. Gokuldev; D. Selvapandian; K. Satheshkumar; T. Deepa","Zonal Head South – IT Academics, iNurture Education Solutions, Bengaluru, India; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore, India; Department of Artificial Intelligence and Machine, Learning Bannari Amman Institute of Technology, Sathyamangalam, Erode; Department of Computer Science and Engineering, PSNA College of Engineering and Technology, Dindigul, India","2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS)","5 May 2023","2023","1","","2234","2240","More than half of India's arable land is susceptible to drought, making the country's agriculture perpetually insecure. Crop productivity and agricultural investment are both negatively impacted by the monsoon's poor performance. Literature states that the existing statistical and numerical procedures often fail to meet the present requirements and strategies for recognizing the important input data for designing efficient rainfall and crop yield forecasting models. In this research, Adaptive Moment Optimization (AMO) based Long Short-term Memory Neural Networks (LSTM-NN) are developed for accurate seasonal rainfall forecasting. The AMO is used to find the relevant features for rainfall prediction and LSTM is used to predict the rainfall. The AMO has a higher learning rate and selects the relevant features that help to progress the performance of the model. The investigational outcomes demonstrated that the proposed strategy accomplished nearly 95% of accuracy in all cases.","2575-7288","979-8-3503-9737-6","10.1109/ICACCS57279.2023.10112667","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112667","Deep learning;rainfall forecasting;crop yield prediction;and LSTM- NN","Productivity;Biological system modeling;Computational modeling;Atmospheric modeling;Crops;Sea measurements;Predictive models","agriculture;crops;deep learning (artificial intelligence);geophysics computing;investment;learning (artificial intelligence);neural nets;rain;recurrent neural nets;time series;weather forecasting","accurate seasonal rainfall forecasting;Adaptive Moment Optimization;agricultural investment;AMO;country;crop analysis;crop yield forecasting models;deep learning;drought;efficient rainfall;existing statistical procedures;higher learning rate;important input data;India's arable land;literature states;Long Short-term Memory Neural Networks;LSTM-NN;monsoon;numerical procedures;rainfall prediction","","","","23","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"Week Ahead Wind Power Forecast Using A Time-Series Forecasting Model","V. S R; P. R","Dept. of Computer Science and Engineering, Dr N.G.P Institute of Technology, Coimbatore, India; Dept. of Computer Science and Engineering, Dr N.G.P Institute of Technology, Coimbatore, India","2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS)","5 May 2023","2023","1","","633","638","Wind farm power production is unreliable due to unpredictable weather. Wind power forecasting comes into the picture to balance supply and demand by evacuating maximum power to the grid. Several existing studies focus on forecasting for a short duration mostly three days, but it is expected to forecast a week ahead to schedule, generate a maximum of planned power and avoid penalties. This paper proposes week ahead wind power forecast based on a time-series forecasting model using ensemble learning such as Random Forest Regressor, XGBoostRegressor, CatBoostRegressor and other machine learning algorithms such as support vector regression, and linear regression and calculates the accuracy of all algorithms to make an accurate week ahead forecast. The dataset collected on a wind farm for a period of two years is taken and used for training and testing the time-series forecasting models. The dataset contains weather parameters like temperature, humidity, and pressure, and wind parameters like wind direction and speed at the wheel hub height. The best week-ahead forecasting algorithms are found to be Random Forest Regressor and CatBoostRegressor. Thus, the forecasting results will be useful in maximizing revenue and avoiding penalties for power producers, while simultaneously benefitting the power utility.","2575-7288","979-8-3503-9737-6","10.1109/ICACCS57279.2023.10112685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112685","Machine Learning;Regression;Ensemble Learning;Wind power;Wind speed;Time-Series Forecasting","Training;Machine learning algorithms;Wind speed;Wheels;Wind power generation;Predictive models;Wind farms","learning (artificial intelligence);power engineering computing;random forests;regression analysis;support vector machines;time series;wind power plants","evacuating maximum power;planned power;power forecasting;power producers;power utility;Random Forest Regressor;time-series forecasting model;week ahead wind power forecast;week-ahead forecasting algorithms;wind direction;wind farm power production;wind parameters","","","","14","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"Hospital Out Patient Visit Forecasting using Gated Recurrent Unit","K. Thapa; A. K. Timalsina","Faculty of Management Nepal College of Information Technology, Pokhara University, Kathmandu, Nepal; Department of Electronics and Computer Engineering, Pulchowk Campus, Institute of Engineering Tribhuvan University","2023 6th International Conference on Information Systems and Computer Networks (ISCON)","4 May 2023","2023","","","1","6","Recently, people have become more interested in their healthcare and well-being, resulting in a significant increase in patient flow for healthcare providers. To provide quality care, hospitals must manage patient flow and resources effectively. Hospitals need to forecast daily patient flow in the Out Patient department to ensure they have enough resources to provide care to all patients, manage resources efficiently, reduce wait times, and improve patient satisfaction. This study is about optimizing patient visit forecasting using deep learning techniques on univariate time series data. The LSTM-based deep learning approach is a reliable module for forecasting such data, however, an enhanced version of LSTM called GRU produced even more effective results. The experimental data from a private hospital’s daily outpatient visits over the last 5 years verified that the GRU model achieved a higher accuracy of 92.42% before 1 minute 29 seconds compared to the LSTM model whose accuracy of 87.15% on an average time of 13minute 8 seconds.","2832-143X","979-8-3503-4696-1","10.1109/ISCON57294.2023.10112169","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112169","Univariate;Time Series Data;Forecasting;Recurrent Neural Networks;Gated Recurrent Unit","Deep learning;Hospitals;Computational modeling;Time series analysis;Logic gates;Data models;Computer networks","deep learning (artificial intelligence);forecasting theory;health care;hospitals;medical computing;optimisation;recurrent neural nets;time series","gated recurrent unit;GRU model;healthcare providers;hospital out patient visit forecasting;LSTM-based deep learning approach;out patient department;patient flow management;patient satisfaction;private hospital;quality care;univariate time series data","","","","11","IEEE","4 May 2023","","","IEEE","IEEE Conferences"
"Machine Learning based Food Demand Estimation for Restaurants","N. K. Pandey; A. K. Mishra; V. Kumar; A. Kumar; M. Diwakar; N. Tripathi","School of Computing, DIT University, Dehradun, India; Graphic Era Hill University, Dehradun, India; CSIT, Teerthaker Mahaveer University, Moradabad, India; Department of CEA, GLA University, Mathura, India; Graphic Era Deemed to be University, Dehradun, India; Graphic Era Deemed to be University, Dehradun, India","2023 6th International Conference on Information Systems and Computer Networks (ISCON)","4 May 2023","2023","","","1","5","The food industry is critically depending on the accurate forecasting, wide business diversity and cutting edge competence. A wide range of items are included in the stocks. some require particular storage conditions, while others are fast perishable, hence its study serves as the foundation for developing an ideal business model. A food demand forecasting problem is explored in the project, and a machine learning technique is employed as a forecasting tool. The demand for various food products at various places is to be projected for the following weeks using a machine learning approach for discovering recurring patterns inherent in data by learning data repeatedly. Some restaurants in a meal delivery network are in high demand. So that restaurant managers may plan optimal food ingredient storage for proper customer service and waste reduction.","2832-143X","979-8-3503-4696-1","10.1109/ISCON57294.2023.10112059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112059","Machine Learning;Random Forest;Gradient Regressor.","Waste reduction;Time series analysis;Food industry;Estimation;Demand forecasting;Forestry;Food products","catering industry;customer services;demand forecasting;food processing industry;food products;learning (artificial intelligence);waste reduction","cutting edge competence;discovering recurring patterns;food demand estimation;food demand forecasting problem;food industry;food products;forecasting tool;ideal business model;machine learning approach;machine learning technique;optimal food ingredient storage;particular storage conditions;restaurant managers;restaurants;wide business diversity","","1","","9","IEEE","4 May 2023","","","IEEE","IEEE Conferences"
"Forecasting COVID-19 Pandemic using Prophet, LSTM, hybrid GRU-LSTM, CNN-LSTM, Bi-LSTM and Stacked-LSTM for India","S. Prakash; A. S. Jalal; P. Pathak","Department of Computer Engineering and Applications, GLA University, Mathura, UP, INDIA; Department of Computer Engineering and Applications, GLA University, Mathura, UP, INDIA; Department of Computer Engineering and Applications, GLA University, Mathura, UP, INDIA","2023 6th International Conference on Information Systems and Computer Networks (ISCON)","4 May 2023","2023","","","1","6","The COVID-19 Pandemic has been around for four years and remains a health concern for everyone. Although things are somewhat returning to normal, increased incidence of COVID-19 cases in some regions of the world (such as China, Japan, France, South Korea, etc.) has bred worry and anxiety in world, including India. The scientific community, which includes governmental organizations and healthcare facilities, was eager to learn how the COVID-19 Pandemic would develop. The current work makes an attempt to address this question by employing cutting-edge machine learning and Deep Learning algorithms to anticipate the daily incidence of COVID-19 for India over the course of the next six months. For the purpose famous timeseries algorithms were implemented including LSTM, Bi-Directional LSTM and Stacked LSTM and Prophet. Owing to success of hybrid algorithms in specific problem domains- the present study also focuses on such algorithms like GRU-LSTM, CNN-LSTM and LSTM with Attention. All these models have been trained on timeseries dataset of COVID-19 for India and performance metrics are recorded. Of all the models, the simplistic algorithms have performed better than complex and hybrid ones. Owing to this best result was obtained with Prophet, Bidirectional LSTM and Vanilla LSTM. The forecast reveals flat nature of COVID-19 case load for India in future six months.","2832-143X","979-8-3503-4696-1","10.1109/ISCON57294.2023.10112065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112065","Deep Learning;LSTM;CNN-LSTM;GRULSTM;LSTM with Attention;Bi-directional LSTM;Stacked LSTM;Prophet;COVID-19","COVID-19;Measurement;Deep learning;Machine learning algorithms;Pandemics;Bidirectional control;Predictive models","convolutional neural nets;deep learning (artificial intelligence);diseases;epidemics;health care;learning (artificial intelligence);medical computing;recurrent neural nets;regression analysis;time series","Bi-LSTM;Bidirectional LSTM;CNN-LSTM;COVID-19 case load;COVID-19 cases;COVID-19 Pandemic;cutting-edge machine learning;hybrid algorithms;hybrid GRU-LSTM;India;purpose famous timeseries algorithms;Stacked-LSTM;Vanilla LSTM","","1","","16","IEEE","4 May 2023","","","IEEE","IEEE Conferences"
"A Tool for Sales Forecasting based on the Neural Network","S. Basahel; A. A. A. Sen","Department of Management Information Systems, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computing and Information Technology, Islamic University, Al-Madinah, Saudi Arabia","2023 10th International Conference on Computing for Sustainable Global Development (INDIACom)","4 May 2023","2023","","","607","611","Time series is a well-known way of successively predicting the behavior of a variable by considering its preceding behavior. It is well known that predicting future sales of large companies is a critical and sensitive issue because it is linked to the production quantity. Accuracy of predictions can save a significant amount of money by reducing the amount of waste due to excessive production. Several other methods are used for prediction. This paper provided a comparison between three methods of predicting based on time series, namely regression, moving averages, and neural networks. Also, the paper provided a tool to facilitate working with neural networks for non-specialists (normal users). The results on real data for a Saudi company have proved that the neural networks model outperformed other models with an accuracy rate or more than 96%. The tool of this paper will be useful for building more complex models by introducing additional factors into the sales forecasting process and publishing it as a web service for ease of use and access.","","978-93-80544-47-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112315","Prediction Tools;Business Intelligence;Neural Network;Productivity;Sales","Training;Web services;Neural networks;Time series analysis;Production;Companies;Predictive models","","","","","","22","","4 May 2023","","","IEEE","IEEE Conferences"
"Sales Forecasting: A Comparison of Traditional and Modern Times-Series Forecasting Models on Sales Data with Seasonality","Y. Ali; S. Nakti","Application Development Department, Ambibuzz Technologies LLP Lower Parel, Mumbai, India; Application Development Department, Ambibuzz Technologies LLP Lower Parel, Mumbai, India","2023 10th International Conference on Computing for Sustainable Global Development (INDIACom)","4 May 2023","2023","","","159","163","The adoption of advanced technologies is crucial for the efficient operations of modern businesses. Sales prediction, demand forecasting, production planning, and inventory forecasting are essential elements of business planning. This study compares classic and modern sales forecasting models to create a reliable and generic prediction tool for businesses and aid CEO decision-making. On sales transactional data, Exploratory Data Analysis was conducted to understand the features in the dataset. After data wrangling, the processed data was used to train the various forecasting models. To help in business strategy decision-making, different forecasting models were applied to the given dataset and the behavior and accuracy of each model were studied. At first, the traditional models based on moving average, Autoregressive Integrated Moving Average (ARIMA), and Seasonal Autoregressive Integrated Moving Average (SARIMA) were utilized, followed by the use of modern sales forecasting models including Long Short-Term Memory (LSTM) and its variants, and Fb-Prophet. The Root Mean Square Error was utilized as the performance measure to compare the various models. The results of the study showed that SARIMA models are better for organizations with fast-moving sales and seasonal patterns. While SARIMA outperforms the basic LSTM model, it is possible to enhance LSTM models to surpass current sales forecasting methods in the future.","","978-93-80544-47-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112431","Time-series Forecasting models;Sales forecasting;Deep learning;Prediction;Seasonal Time Series Data;LSTM;SARIMA;Fb-Prophet","Computational modeling;Time series analysis;Decision making;Production planning;Organizations;Predictive models;Data models","autoregressive moving average processes;data analysis;decision making;demand forecasting;forecasting theory;mean square error methods;production planning;recurrent neural nets;regression analysis;sales management;time series","aid CEO decision-making;basic LSTM model;business planning;business strategy decision-making;current sales forecasting methods;demand forecasting;different forecasting models;Exploratory Data Analysis;generic prediction tool;inventory forecasting;LSTM models;modern businesses;modern sales forecasting models;modern times-series forecasting models;processed data;reliable prediction tool;sales Data;sales prediction;sales transactional data;SARIMA models;Seasonal Autoregressive Integrated Moving Average","","","","20","","4 May 2023","","","IEEE","IEEE Conferences"
"Time Series Forecasting and Point Anomaly Detection of Sensor Signals Using LSTM Neural Network Architectures","A. Bhoomika; S. N. S. Chitta; K. Laxmisetti; B. Sirisha","Department of Computer Science and Engineering, Maturi Venkata Subba Rao (MVSR) Engineering College; Department of Computer Science and Engineering, Maturi Venkata Subba Rao (MVSR) Engineering College; Department of Computer Science and Engineering, Maturi Venkata Subba Rao (MVSR) Engineering College; Department of Computer Science and Engineering, Maturi Venkata Subba Rao (MVSR) Engineering College","2023 10th International Conference on Computing for Sustainable Global Development (INDIACom)","4 May 2023","2023","","","1257","1262","The sensor data points that exhibit unexpected behaviour that considerably deviates from the norm are considered anomalies in the time-series sensor data. We can model univariate time series data using a number of traditional methods, including ARIMA, GARCH, SARIMA and VAR. Modern deep learning algorithms have lately been used to study time series analysis and prediction. This study contrasts three autoregressive models, which project future events based on past observations. Three different sets of temperature, vibration, and pressure sensor data are used to compare the performance of the Bidirectional Long Short-Term Memory (Bi-LSTM), Convolutional Long Short-Term Memory (C-LSTM), and Stacked Long Short-Term Memory (S-LSTM) architectures. The models performance and training time are reported for healthy, unhealthy and noisy time-series data. Experimental results shows that, Model trained and build using Bi-LSTM can consistently detect point anomaly for healthy, unhealthy and noisy time-series data with minimum error rate across three sensor datasets.","","978-93-80544-47-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112268","Time Series;Sensor signals;RNN;LSTM;Forecasting;Anomaly Detection","Recurrent neural networks;Convolution;Computational modeling;Time series analysis;Predictive models;Data models;Noise measurement","","","","","","20","","4 May 2023","","","IEEE","IEEE Conferences"
"A Novel Deep Learning Framework with Multi-Stage Feature Selection for Time Series Forecasting","R. P. Varshney; D. K. Sharma","GLA University, Mathura, India; GLA University, Mathura, India","2023 10th International Conference on Computing for Sustainable Global Development (INDIACom)","4 May 2023","2023","","","200","205","Time series prediction across different sectors has received enormous consideration as it influences intelligent decision-making activities. Recurrent neural networks and various deep learning algorithms have been applied around modelling and forecasting multivariate time series data. Due to the intricate nonlinear patterns and significant variations in the randomness of different categories of real-world time series data, it is a formidable task for a deep learning model to simultaneously achieve effectiveness and robustness. We proposed a model to counter the challenges and provide more precise results as compared to existing state-of-art models. Firstly, a feature selection is performed via two strategies concurrently. Subsequently, the data is converted into an image, and then Convolutional Neural Network (CNN) is used to extract attributes from the images. Concurrently, the clustering is done on the data, and each cluster is fed to the residual Long Short-Term Memory (LSTM) so that the lower layers can transmit information directly to the upper layers through highways, increasing information flow freedom. Because of this, gradients can be passed more directly through the layers with the addition operators making training much easier. Then the output of CNN and Residual LSTM is combined and passed to the machine learning models. The model is benchmarked on a couple of datasets. For the capital bike sharing dataset, the proposed model improves the Root Mean Squared Error by ~15% and Mean Absolute Error by ~20%.","","978-93-80544-47-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112448","Deep learning;Feature selection;Time series forecasting;CNN;Gramian Angular Field (GAF);LSTM;K-means clustering;Residual LSTM;Neural networks","Deep learning;Time series analysis;Transfer learning;Benchmark testing;Feature extraction;Data models;Convolutional neural networks","","","","","","32","","4 May 2023","","","IEEE","IEEE Conferences"
