Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Computational Intelligence Methods for Time Series Analysis and Forecasting: Special Issue of IWANN 2017","Neural Processing Letters","","52","1","10.1007/s11063-020-10302-y","Olga ValenzuelaFernando RojasIgnacio Rojas","2020","http://link.springer.com/article/10.1007/s11063-020-10302-y","Article"
"The Innovative Combination of Time Series Analysis Methods for the Forecasting of Groundwater Fluctuations","Water Resources","","49","2","10.1134/S0097807822020026","Amirhossein NajafabadipourGholamreza KamaliHossein Nezamabadi-pour","2022","http://link.springer.com/article/10.1134/S0097807822020026","Article"
"Stock market forecasting with financial micro-blog based on sentiment and time series analysis","Journal of Shanghai Jiaotong University (Science)","","22","2","10.1007/s12204-017-1818-4","Yinglin Wang 王英林","2017","http://link.springer.com/article/10.1007/s12204-017-1818-4","Article"
"Forecasting Banana Harvest Area and Production in Turkey Using Time Series Analysis","Erwerbs-Obstbau","","62","3","10.1007/s10341-020-00490-1","Sadiye Peral EyduranMelekşen AkınEcevit EyduranŞenol ÇelikYakup Erdal ErtürkSezai Ercişli","2020","http://link.springer.com/article/10.1007/s10341-020-00490-1","Article"
"Multi-step time series analysis and forecasting strategy using ARIMA and evolutionary algorithms","International Journal of Information Technology","","14","1","10.1007/s41870-021-00741-8","Raghavendra KumarPardeep KumarYugal Kumar","2022","http://link.springer.com/article/10.1007/s41870-021-00741-8","Article"
"Oral and para-oral lymphomas: a 10-year multi-center retrospective study in Egypt with time series analysis and forecasting to 2030","BMC Oral Health","","22","1","10.1186/s12903-022-02582-8","Madiha AshoubMona WaliNada NoureldinKhaled KeraaEman El DesoukyMarwa Mokbel ElShafei","2022","http://link.springer.com/article/10.1186/s12903-022-02582-8","Article"
"Oil demand forecasting for China: a fresh evidence from structural time series analysis","Environment, Development and Sustainability","","21","3","10.1007/s10668-018-0081-7","Tehreem FatimaEnjun XiaMuhammad Ahad","2019","http://link.springer.com/article/10.1007/s10668-018-0081-7","Article"
"Time series analysis of hemorrhagic fever with renal syndrome in mainland China by using an XGBoost forecasting model","BMC Infectious Diseases","","21","1","10.1186/s12879-021-06503-y","Cai-Xia LvShu-Yi AnBao-Jun QiaoWei Wu","2021","http://link.springer.com/article/10.1186/s12879-021-06503-y","Article"
"An Intelligent IoT-Cloud-Based Air Pollution Forecasting Model Using Univariate Time-Series Analysis","Arabian Journal for Science and Engineering","","","","10.1007/s13369-023-07876-9","Manzoor AnsariMansaf Alam","2023","http://link.springer.com/article/10.1007/s13369-023-07876-9","Article"
"Supply continuity in Turkish electricity distribution grid: electricity interruption cost forecasting with time series analysis and machine learning","Electrical Engineering","","105","1","10.1007/s00202-022-01639-9","Burak DindarÖmer Gül","2023","http://link.springer.com/article/10.1007/s00202-022-01639-9","Article"
